feature_set,seq_length,threshold,accuracy,f1,roc_auc,btc_total_return,pm_total_pnl,signals
btc_only,5,0.55,0.5666666666666667,0.5517241379310345,0.5499438832772165,-0.06943771882915395,0.5,31
btc_only,5,0.45,0.5333333333333333,0.6585365853658537,0.5499438832772165,-0.08263901530072026,-0.5,55
btc_only,5,0.5,0.5333333333333333,0.6,0.5499438832772165,-0.07683168510976324,-0.5,43
btc_plus_full_pm,10,0.55,0.4666666666666667,0.6097560975609756,0.5499438832772165,-0.024943245702444772,-2.5,55
btc_plus_full_pm,10,0.45,0.45,0.6206896551724138,0.5499438832772165,-0.0691708958636933,-3.0,60
btc_plus_full_pm,10,0.5,0.45,0.6206896551724138,0.5499438832772165,-0.0691708958636933,-3.0,60
btc_plus_small_pm,10,0.55,0.4666666666666667,0.627906976744186,0.5342312008978676,-0.06885605826137642,-2.5,59
btc_plus_small_pm,10,0.45,0.45,0.6206896551724138,0.5342312008978676,-0.0691708958636933,-3.0,60
btc_plus_small_pm,10,0.5,0.45,0.6206896551724138,0.5342312008978676,-0.0691708958636933,-3.0,60
btc_only,10,0.55,0.5333333333333333,0.36363636363636365,0.5061728395061729,-0.0501807372869838,-0.5,17
btc_only,10,0.5,0.48333333333333334,0.5373134328358209,0.5061728395061729,0.02552855088109718,-2.0,40
btc_only,10,0.45,0.4666666666666667,0.627906976744186,0.5061728395061729,-0.0493019383127159,-2.5,59
btc_plus_small_pm,5,0.55,0.5,0.625,0.4803591470258136,-0.04384266653328739,-1.5,53
btc_plus_small_pm,5,0.45,0.45,0.6206896551724138,0.4803591470258136,-0.0691708958636933,-3.0,60
btc_plus_small_pm,5,0.5,0.43333333333333335,0.6046511627906976,0.4803591470258136,-0.06150033066967464,-3.5,59
btc_plus_full_pm,5,0.55,0.5166666666666667,0.5396825396825397,0.47923681257014594,0.030884243423357383,-1.0,36
btc_plus_full_pm,5,0.45,0.45,0.611764705882353,0.47923681257014594,-0.022014217330625918,-3.0,58
btc_plus_full_pm,5,0.5,0.45,0.5822784810126582,0.47923681257014594,-0.03218784687783072,-3.0,52
btc_plus_full_pm,15,0.45,0.45,0.6206896551724138,0.4725028058361392,-0.0691708958636933,-3.0,60
btc_plus_full_pm,15,0.5,0.45,0.6206896551724138,0.4725028058361392,-0.0691708958636933,-3.0,60
btc_plus_full_pm,15,0.55,0.4166666666666667,0.5569620253164557,0.4725028058361392,-0.013759518997872977,-4.0,52
btc_only,15,0.55,0.48333333333333334,0.3111111111111111,0.4343434343434343,-0.02264844039135927,-2.0,18
btc_only,15,0.45,0.45,0.6206896551724138,0.4343434343434343,-0.0691708958636933,-3.0,60
btc_only,15,0.5,0.45,0.611764705882353,0.4343434343434343,-0.0897165935249743,-3.0,58
btc_plus_small_pm,15,0.45,0.45,0.6206896551724138,0.4186307519640853,-0.0691708958636933,-3.0,60
btc_plus_small_pm,15,0.5,0.45,0.611764705882353,0.4186307519640853,-0.06651731217014245,-3.0,58
btc_plus_small_pm,15,0.55,0.45,0.5822784810126582,0.4186307519640853,-0.04584757794891092,-3.0,52
